Date;High;Low;Close;ADX
20.04.2010;49.67;49.22;49.54;34.53
21.04.2010;49.98;49.52;49.82;34.08
22.04.2010;50.15;49.05;50.1;32.51
23.04.2010;50.36;49.88;50.31;31.41
26.04.2010;50.44;50.09;50.2;30.52
27.04.2010;50.22;49;49.13;29.14
28.04.2010;49.42;48.77;49.16;28.2
29.04.2010;50.12;49.4;50.02;26.3
30.04.2010;50.08;48.99;49.03;24.94
03.05.2010;49.96;49.22;49.72;23.67
04.05.2010;49.11;47.88;48.23;24.15
05.05.2010;48.3;47.44;47.98;25
06.05.2010;48.12;41.37;46.37;28.28
07.05.2010;46.6;44.1;45.22;31.33
10.05.2010;47.6;47.11;47.57;33.01
11.05.2010;48.19;47;47.52;33.95
12.05.2010;48.45;47.7;48.41;34.53
13.05.2010;48.58;47.53;47.65;35.15
14.05.2010;47.32;46.18;46.73;36.27
17.05.2010;47.07;45.88;46.88;37.42
18.05.2010;47.38;46.02;46.23;38.12
19.05.2010;46.43;45.36;45.87;39.05
20.05.2010;45.09;44.06;44.16;40.36
21.05.2010;45.45;43.31;44.65;41.81
24.05.2010;45.13;44.45;44.47;43.16
25.05.2010;44.57;43.05;44.51;44.81
26.05.2010;45.38;43.93;44.01;45.39
27.05.2010;45.7;44.9;45.68;45.57
28.05.2010;45.8;45.01;45.41;45.62
01.06.2010;46.05;44.94;44.99;45.35
02.06.2010;46.08;44.94;46.05;45.07
03.06.2010;46.57;45.89;46.49;44.19
04.06.2010;46.09;44.75;44.9;44.02
07.06.2010;45.27;44.03;44.08;44.19
08.06.2010;44.29;43.41;44;44.63
09.06.2010;44.72;43.51;43.64;44.5
10.06.2010;44.93;44.05;44.88;44.12
11.06.2010;45.35;44.42;45.31;43.23
14.06.2010;46.04;45.22;45.3;41.6
15.06.2010;46.57;45.26;46.51;39.52
16.06.2010;46.94;46.3;46.7;37.21
17.06.2010;46.98;46.44;46.85;35.02
18.06.2010;47.23;46.75;46.89;32.72
21.06.2010;47.57;46.22;46.49;31.11
22.06.2010;47.03;46.04;46.13;29.78
23.06.2010;46.36;45.58;45.94;28.97
24.06.2010;45.88;45.09;45.24;28.64
25.06.2010;45.55;44.85;45.16;28.55
28.06.2010;45.44;44.71;45.01;28.58
29.06.2010;44.36;42.97;43.27;29.79
30.06.2010;43.57;42.54;42.61;31.14
01.07.2010;42.86;41.67;42.49;32.8
02.07.2010;42.72;41.99;42.37;34.35
06.07.2010;43.27;42.15;42.5;34.95
07.07.2010;43.91;42.6;43.86;34.61
08.07.2010;44.28;43.58;44.1;33.82
09.07.2010;44.53;43.98;44.52;32.76
12.07.2010;44.93;44.36;44.65;31.29
13.07.2010;45.39;44.7;45.22;29.36
14.07.2010;45.7;45.13;45.45;27.3
15.07.2010;45.63;44.89;45.49;25.59
16.07.2010;45.52;44.2;44.24;24.72
19.07.2010;44.71;44;44.62;24.11
20.07.2010;45.15;43.76;45.15;22.95
21.07.2010;45.65;44.46;44.54;21.35
22.07.2010;45.87;45.13;45.66;20.11
23.07.2010;45.99;45.27;45.95;19.11
26.07.2010;46.35;45.8;46.33;18.59
27.07.2010;46.61;46.1;46.31;18.4
28.07.2010;46.47;45.77;45.94;17.74
29.07.2010;46.3;45.14;45.6;16.67
30.07.2010;45.98;44.97;45.7;15.9
02.08.2010;46.68;46.1;46.56;15.25
03.08.2010;46.59;46.14;46.36;14.64
04.08.2010;46.88;46.39;46.83;14.43
05.08.2010;46.81;46.41;46.72;14.24
06.08.2010;46.74;45.94;46.65;13.33
09.08.2010;47.08;46.68;46.97;12.95
10.08.2010;46.84;46.17;46.56;12.21
11.08.2010;45.81;45.1;45.29;12.78
12.08.2010;45.13;44.35;44.94;14
13.08.2010;44.96;44.61;44.62;15.14
16.08.2010;45.01;44.2;44.7;16.55
17.08.2010;45.67;44.93;45.27;16.79
18.08.2010;45.71;45.01;45.44;16.95
19.08.2010;45.35;44.46;44.76;17.65
20.08.2010;44.93;44.44;44.82;18.32
23.08.2010;45.23;44.36;44.38;18.42
24.08.2010;44.02;43.36;43.55;19.47
25.08.2010;44.16;43.17;43.97;20.6
26.08.2010;44.22;43.4;43.44;21.55
27.08.2010;44.06;42.87;43.97;22.88
30.08.2010;44.15;43.5;43.51;23.95
31.08.2010;43.75;43.08;43.36;25.29
01.09.2010;44.81;43.97;44.66;24.72
02.09.2010;45.17;44.63;45.15;23.66
03.09.2010;45.91;45.44;45.9;22.2
07.09.2010;45.92;45.52;45.59;20.85
08.09.2010;46.34;45.71;46.14;20.11
09.09.2010;46.59;46.21;46.32;19.69
10.09.2010;46.56;46.14;46.49;19.2
13.09.2010;47.26;46.83;47.14;19.53
14.09.2010;47.59;46.97;47.34;20.15
15.09.2010;47.69;47.08;47.64;20.83
16.09.2010;47.87;47.43;47.83;21.64
17.09.2010;48.14;47.75;48;22.65
20.09.2010;48.93;48.11;48.83;24.27
21.09.2010;49.17;48.61;48.82;25.95
22.09.2010;49.02;48.42;48.69;27.11
23.09.2010;49.16;48.32;48.67;28.31
24.09.2010;49.69;49.15;49.66;29.84
27.09.2010;49.75;49.35;49.39;31.32
28.09.2010;49.54;48.59;49.37;31.09
29.09.2010;49.53;49.11;49.29;30.89
30.09.2010;49.84;48.75;49.07;30.01
01.10.2010;49.53;48.78;49.01;29.19
04.10.2010;49.05;48.2;48.48;27.39
05.10.2010;49.76;49;49.66;26.68
06.10.2010;49.71;48.91;49.23;25.86
07.10.2010;49.54;49;49.41;25.09
08.10.2010;49.87;49.08;49.75;24.83
11.10.2010;50.02;49.62;49.77;24.78
12.10.2010;50.21;49.26;50.11;24.01
